Domain,Condition,Method,Segment_Count,Average_Length,Over_Segmentation_Rate,Under_Segmentation_Rate,Temporal_Error,Statistical_Significance,Execution_Time,Domain_Variance,Domain_Volatility,Domain_CV
natural_language_processing,Fixed_Low,Fixed,6,12.166666666666666,0.0,0.0,0.0,0.5,0.10702776908874512,0.0385733668426284,0.06656500630801117,1.636335617701035
natural_language_processing,Fixed_Medium,Fixed,6,12.166666666666666,0.0,0.0,0.0,0.5,0.07737970352172852,0.0385733668426284,0.06656500630801117,1.636335617701035
natural_language_processing,Fixed_High,Fixed,6,12.166666666666666,0.0,0.0,0.0,0.5,0.0791018009185791,0.0385733668426284,0.06656500630801117,1.636335617701035
natural_language_processing,Adaptive_Standard,Adaptive,6,12.166666666666666,0.0,0.0,0.0,0.5,0.10187506675720215,0.0385733668426284,0.06656500630801117,1.636335617701035
natural_language_processing,Adaptive_Conservative,Adaptive,6,12.166666666666666,0.0,0.0,0.0,0.5,0.08070135116577148,0.0385733668426284,0.06656500630801117,1.636335617701035
natural_language_processing,Adaptive_Sensitive,Adaptive,6,12.166666666666666,0.0,0.0,0.0,0.5,0.0798647403717041,0.0385733668426284,0.06656500630801117,1.636335617701035
deep_learning,Fixed_Low,Fixed,8,6.125,0.0,0.0,0.0,0.5,0.12195897102355957,0.05473797889236177,0.07354921812580113,1.7779688289360154
deep_learning,Fixed_Medium,Fixed,8,6.125,0.0,0.0,0.0,0.5,0.10286521911621094,0.05473797889236177,0.07354921812580113,1.7779688289360154
deep_learning,Fixed_High,Fixed,8,6.125,0.0,0.0,0.0,0.5,0.1203298568725586,0.05473797889236177,0.07354921812580113,1.7779688289360154
deep_learning,Adaptive_Standard,Adaptive,8,6.125,0.0,0.0,0.0,0.5,0.10076284408569336,0.05473797889236177,0.07354921812580113,1.7779688289360154
deep_learning,Adaptive_Conservative,Adaptive,8,6.125,0.0,0.0,0.0,0.5,0.12002110481262207,0.05473797889236177,0.07354921812580113,1.7779688289360154
deep_learning,Adaptive_Sensitive,Adaptive,8,6.125,0.0,0.0,0.0,0.5,0.10057997703552246,0.05473797889236177,0.07354921812580113,1.7779688289360154
computer_vision,Fixed_Low,Fixed,7,8.857142857142858,0.0,0.0,0.0,0.5,0.11954379081726074,0.02752440802723912,0.06788595278853926,1.621464056514781
computer_vision,Fixed_Medium,Fixed,7,8.857142857142858,0.0,0.0,0.0,0.5,0.10035395622253418,0.02752440802723912,0.06788595278853926,1.621464056514781
computer_vision,Fixed_High,Fixed,7,8.857142857142858,0.0,0.0,0.0,0.5,0.1243431568145752,0.02752440802723912,0.06788595278853926,1.621464056514781
computer_vision,Adaptive_Standard,Adaptive,7,8.857142857142858,0.0,0.0,0.0,0.5,0.09947705268859863,0.02752440802723912,0.06788595278853926,1.621464056514781
computer_vision,Adaptive_Conservative,Adaptive,7,8.857142857142858,0.0,0.0,0.0,0.5,0.10049700736999512,0.02752440802723912,0.06788595278853926,1.621464056514781
computer_vision,Adaptive_Sensitive,Adaptive,7,8.857142857142858,0.0,0.0,0.0,0.5,0.12160301208496094,0.02752440802723912,0.06788595278853926,1.621464056514781
machine_learning,Fixed_Low,Fixed,11,6.7272727272727275,0.0,0.0,0.0,0.5,0.09230828285217285,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_learning,Fixed_Medium,Fixed,10,7.4,0.0,0.0,0.0,0.5,0.1098318099975586,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_learning,Fixed_High,Fixed,10,7.4,0.0,0.0,0.0,0.5,0.08815789222717285,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_learning,Adaptive_Standard,Adaptive,10,7.4,0.0,0.0,0.0,0.5,0.08893227577209473,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_learning,Adaptive_Conservative,Adaptive,10,7.4,0.0,0.0,0.0,0.5,0.11223292350769043,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_learning,Adaptive_Sensitive,Adaptive,10,7.4,0.0,0.0,0.0,0.5,0.08868622779846191,0.04838435218770487,0.08163209382982765,1.6319966043349048
machine_translation,Fixed_Low,Fixed,2,15.0,0.0,0.0,0.0,0.5,0.025332927703857422,0.04204360758905089,0.131115401752562,2.15104661233195
machine_translation,Fixed_Medium,Fixed,2,15.0,0.0,0.0,0.0,0.5,0.022552013397216797,0.04204360758905089,0.131115401752562,2.15104661233195
machine_translation,Fixed_High,Fixed,2,15.0,0.0,0.0,0.0,0.5,0.024821996688842773,0.04204360758905089,0.131115401752562,2.15104661233195
machine_translation,Adaptive_Standard,Adaptive,2,15.0,0.0,0.0,0.0,0.5,0.024498939514160156,0.04204360758905089,0.131115401752562,2.15104661233195
machine_translation,Adaptive_Conservative,Adaptive,2,15.0,0.0,0.0,0.0,0.5,0.042977094650268555,0.04204360758905089,0.131115401752562,2.15104661233195
machine_translation,Adaptive_Sensitive,Adaptive,2,15.0,0.0,0.0,0.0,0.5,0.02462601661682129,0.04204360758905089,0.131115401752562,2.15104661233195
computer_science,Fixed_Low,Fixed,11,6.363636363636363,0.0,0.0,0.0,0.5,0.05834078788757324,0.04871524182046864,0.11515058939973236,1.173140383797825
computer_science,Fixed_Medium,Fixed,10,7.0,0.0,0.0,0.0,0.5,0.05542707443237305,0.04871524182046864,0.11515058939973236,1.173140383797825
computer_science,Fixed_High,Fixed,10,7.0,0.0,0.0,0.0,0.5,0.05632495880126953,0.04871524182046864,0.11515058939973236,1.173140383797825
computer_science,Adaptive_Standard,Adaptive,11,6.363636363636363,0.0,0.0,0.0,0.5,0.07558989524841309,0.04871524182046864,0.11515058939973236,1.173140383797825
computer_science,Adaptive_Conservative,Adaptive,10,7.0,0.0,0.0,0.0,0.5,0.05534720420837402,0.04871524182046864,0.11515058939973236,1.173140383797825
computer_science,Adaptive_Sensitive,Adaptive,11,6.363636363636363,0.0,0.0,0.0,0.5,0.05507516860961914,0.04871524182046864,0.11515058939973236,1.173140383797825
art,Fixed_Low,Fixed,13,14.615384615384615,0.0,0.0,0.0,0.5,0.03480100631713867,0.03288044570522938,0.04947155681287146,1.9070986314714318
art,Fixed_Medium,Fixed,13,14.615384615384615,0.0,0.0,0.0,0.5,0.03038311004638672,0.03288044570522938,0.04947155681287146,1.9070986314714318
art,Fixed_High,Fixed,13,14.615384615384615,0.0,0.0,0.0,0.5,0.05381369590759277,0.03288044570522938,0.04947155681287146,1.9070986314714318
art,Adaptive_Standard,Adaptive,13,14.615384615384615,0.0,0.0,0.0,0.5,0.03142285346984863,0.03288044570522938,0.04947155681287146,1.9070986314714318
art,Adaptive_Conservative,Adaptive,13,14.615384615384615,0.0,0.0,0.0,0.5,0.031350135803222656,0.03288044570522938,0.04947155681287146,1.9070986314714318
art,Adaptive_Sensitive,Adaptive,13,14.615384615384615,0.0,0.0,0.0,0.5,0.030557870864868164,0.03288044570522938,0.04947155681287146,1.9070986314714318
applied_mathematics,Fixed_Low,Fixed,11,11.818181818181818,0.0,0.0,0.0,0.5,0.02944803237915039,0.01998417676236804,0.07208431957069365,1.431540068101896
applied_mathematics,Fixed_Medium,Fixed,11,11.818181818181818,0.0,0.0,0.0,0.5,0.028580188751220703,0.01998417676236804,0.07208431957069365,1.431540068101896
applied_mathematics,Fixed_High,Fixed,11,11.818181818181818,0.0,0.0,0.0,0.5,0.02847886085510254,0.01998417676236804,0.07208431957069365,1.431540068101896
applied_mathematics,Adaptive_Standard,Adaptive,11,11.818181818181818,0.0,0.0,0.0,0.5,0.028088808059692383,0.01998417676236804,0.07208431957069365,1.431540068101896
applied_mathematics,Adaptive_Conservative,Adaptive,11,11.818181818181818,0.0,0.0,0.0,0.5,0.0277252197265625,0.01998417676236804,0.07208431957069365,1.431540068101896
applied_mathematics,Adaptive_Sensitive,Adaptive,11,11.818181818181818,0.0,0.0,0.0,0.5,0.027669906616210938,0.01998417676236804,0.07208431957069365,1.431540068101896
